number of samples in the range,,latency range lower bound,latency range upper bound,
2,0,826.884,894.779428571428,0.83
6,0,894.779428571428,962.674857142857,0.89
3,0,962.674857142857,1030.57028571428,0.96
35,0.001,1030.57028571428,1098.46571428571,1.03
319,0.005,1098.46571428571,1166.36114285714,1.1
844,0.014,1166.36114285714,1234.25657142857,1.17
1304,0.022,1234.25657142857,1302.152,1.23
2651,0.045,1302.152,1370.04742857142,1.3
1428,0.024,1370.04742857142,1437.94285714285,1.37
2383,0.04,1437.94285714285,1505.83828571428,1.44
14528,0.246,1505.83828571428,1573.73371428571,1.51
12443,0.21,1573.73371428571,1641.62914285714,1.57
2811,0.048,1641.62914285714,1709.52457142857,1.64
2070,0.035,1709.52457142857,1777.42,1.71
2779,0.047,1777.42,1845.31542857142,1.78
3825,0.065,1845.31542857142,1913.21085714285,1.85
3464,0.059,1913.21085714285,1981.10628571428,1.91
4304,0.073,1981.10628571428,2049.00171428571,1.98
1717,0.029,2049.00171428571,2116.89714285714,2.05
714,0.012,2116.89714285714,2184.79257142857,2.12
529,0.009,2184.79257142857,2252.688,2.18
382,0.006,2252.688,2320.58342857142,2.25
220,0.004,2320.58342857142,2388.47885714285,2.32
158,0.003,2388.47885714285,2456.37428571428,2.39
103,0.002,2456.37428571428,2524.26971428571,2.46
54,0.001,2524.26971428571,2592.16514285714,2.52
21,0,2592.16514285714,2660.06057142857,2.59
12,0,2660.06057142857,2727.956,2.66
8,0,2727.956,2795.85142857142,2.73
3,0,2795.85142857142,2863.74685714285,2.8
3,0,2863.74685714285,2931.64228571428,2.86
4,0,2931.64228571428,2999.53771428571,2.93
3,0,2999.53771428571,3067.43314285714,3
4,0,3067.43314285714,3135.32857142857,3.07
1,0,3135.32857142857,3203.224,3.14
2,0,3203.224,3271.11942857142,3.2
0,0,3271.11942857142,3339.01485714285,3.27
2,0,3339.01485714285,3406.91028571428,3.34
1,0,3406.91028571428,3474.80571428571,3.41
0,0,3474.80571428571,3542.70114285714,3.47
0,0,3542.70114285714,3610.59657142857,3.54
1,0,3610.59657142857,3678.492,3.61
2,0,3678.492,3746.38742857142,3.68
2,0,3746.38742857142,3814.28285714285,3.75
0,0,3814.28285714285,3882.17828571428,3.81
1,0,3882.17828571428,3950.07371428571,3.88
0,0,3950.07371428571,4017.96914285714,3.95
0,0,4017.96914285714,4085.86457142857,4.02
1,0,4085.86457142857,4153.76,4.09
